       time(sec)         focus        45deg_astig      0deg_astig       y_coma          x_coma         y_trefoil       x_trefoil       spherical
       146300.00       0.0000000  -5.9303721e-12   3.8848303e-11   3.5023874e-12   1.4248320e-11  -2.0340606e-12   1.6158584e-12  -1.0914593e-12
       147300.00       0.0000000  -6.1543856e-12   3.9114038e-11   3.0378432e-12   1.3795843e-11  -2.1659209e-12   1.3203919e-12  -1.2361519e-12
       148300.00       0.0000000  -6.3783991e-12   3.9379774e-11   2.5732992e-12   1.3343365e-11  -2.2977813e-12   1.0249255e-12  -1.3808445e-12
       149300.00       0.0000000  -6.5180595e-12   3.9537595e-11   2.9391929e-12   1.2962596e-11  -2.3702869e-12   1.0391484e-12  -1.1923246e-12
       150300.00       0.0000000  -6.6577199e-12   3.9695417e-11   3.3050869e-12   1.2581826e-11  -2.4427927e-12   1.0533711e-12  -1.0038046e-12
       151300.00       0.0000000  -6.7973804e-12   3.9853239e-11   3.6709806e-12   1.2201057e-11  -2.5152983e-12   1.0675940e-12  -8.1528453e-13
       152300.00       0.0000000  -6.9370408e-12   4.0011060e-11   4.0368746e-12   1.1820287e-11  -2.5878039e-12   1.0818168e-12  -6.2676448e-13
       153300.00       0.0000000  -7.5047737e-12   3.9657607e-11   4.1617044e-12   1.0807609e-11  -2.1245414e-12   1.1557402e-12  -6.7032843e-13
       154300.00       0.0000000  -8.0725062e-12   3.9304154e-11   4.2865342e-12   9.7949305e-12  -1.6612788e-12   1.2296635e-12  -7.1389238e-13
       155300.00       0.0000000  -8.6402387e-12   3.8950704e-11   4.4113641e-12   8.7822527e-12  -1.1980161e-12   1.3035869e-12  -7.5745627e-13
