       time(sec)         focus        45deg_astig      0deg_astig       y_coma          x_coma         y_trefoil       x_trefoil       spherical
       96200.000       0.0000000   2.3412159e-13   3.9120724e-11  -5.2790948e-13   2.6874234e-11  -2.6701226e-12   2.2318597e-12  -3.7300461e-13
       97200.000       0.0000000   4.6796470e-14   3.9488503e-11  -5.6232037e-13   2.7248457e-11  -2.3893082e-12   2.4265945e-12  -4.5835173e-13
       98200.000       0.0000000  -1.4052863e-13   3.9856285e-11  -5.9673121e-13   2.7622682e-11  -2.1084937e-12   2.6213294e-12  -5.4369882e-13
       99200.000       0.0000000  -2.1295171e-13   3.9620748e-11  -6.7214257e-13   2.7418975e-11  -1.9550060e-12   2.6413763e-12  -6.6866830e-13
       100200.00       0.0000000  -2.8537481e-13   3.9385207e-11  -7.4755393e-13   2.7215268e-11  -1.8015182e-12   2.6614232e-12  -7.9363772e-13
       101200.00       0.0000000  -3.5779788e-13   3.9149666e-11  -8.2296529e-13   2.7011563e-11  -1.6480306e-12   2.6814703e-12  -9.1860720e-13
       102200.00       0.0000000  -4.3022096e-13   3.8914129e-11  -8.9837664e-13   2.6807856e-11  -1.4945429e-12   2.7015172e-12  -1.0435767e-12
       103200.00       0.0000000   1.3984328e-13   3.9509136e-11  -1.1182075e-12   2.7183615e-11  -1.6672175e-12   2.4801688e-12  -1.1363763e-12
       104200.00       0.0000000   7.0990750e-13   4.0104142e-11  -1.3380384e-12   2.7559375e-11  -1.8398922e-12   2.2588205e-12  -1.2291759e-12
       105200.00       0.0000000   1.2799718e-12   4.0699149e-11  -1.5578693e-12   2.7935133e-11  -2.0125665e-12   2.0374722e-12  -1.3219755e-12
